run,dataset,sequence,variant,mode,ape_m,rte_pct,rot_dpm,re_deg,rpe1s_m,rpe1s_deg,matched
euroc_MH_01_easy_inertial_odom,euroc,MH_01_easy,inertial,odom,0.7139,2.245,0.4031,6.8097,0.0337,1.2802,3639.0
euroc_MH_01_easy_inertial_slam,euroc,MH_01_easy,inertial,slam,0.6891,2.025,0.3854,6.5251,0.037,1.2707,3639.0
euroc_MH_01_easy_mono_odom,euroc,MH_01_easy,mono,odom,0.4009,110.084,0.5716,7.9419,1.5208,1.6672,3639.0
euroc_MH_01_easy_stereo_odom,euroc,MH_01_easy,stereo,odom,0.0592,0.614,0.0555,0.8584,0.0111,0.0837,3639.0
euroc_MH_01_easy_stereo_slam,euroc,MH_01_easy,stereo,slam,0.0196,0.637,0.0505,0.7321,0.014,0.1333,3639.0
euroc_MH_02_easy_inertial_odom,euroc,MH_02_easy,inertial,odom,0.5059,5.83,0.5952,8.1582,0.1318,9.6293,3000.0
euroc_MH_02_easy_inertial_slam,euroc,MH_02_easy,inertial,slam,2.54,12.439,1.7008,23.382,0.8514,14.2857,3000.0
euroc_MH_02_easy_mono_odom,euroc,MH_02_easy,mono,odom,1.3336,344.905,0.1749,2.476,5.8184,1.8022,3000.0
euroc_MH_02_easy_stereo_odom,euroc,MH_02_easy,stereo,odom,0.0236,0.443,0.0316,0.4507,0.0082,0.1027,3000.0
euroc_MH_02_easy_stereo_slam,euroc,MH_02_easy,stereo,slam,0.0221,0.514,0.0319,0.4681,0.0136,0.1454,3000.0
euroc_MH_03_medium_inertial_odom,euroc,MH_03_medium,inertial,odom,3.4099,12.275,1.4429,23.2776,0.5424,9.9117,2631.0
euroc_MH_03_medium_inertial_slam,euroc,MH_03_medium,inertial,slam,1.9378,8.402,0.6882,10.3633,0.5313,6.8551,2631.0
euroc_MH_03_medium_mono_odom,euroc,MH_03_medium,mono,odom,2.581,21.32,0.1692,2.5596,6.517,1.0835,2631.0
euroc_MH_03_medium_stereo_odom,euroc,MH_03_medium,stereo,odom,0.0713,0.943,0.0402,0.5877,0.0289,0.1662,2631.0
euroc_MH_03_medium_stereo_slam,euroc,MH_03_medium,stereo,slam,0.0315,0.945,0.049,0.7269,0.0334,0.2372,2631.0
euroc_MH_04_difficult_inertial_odom,euroc,MH_04_difficult,inertial,odom,1.4159,5.644,0.3831,5.8104,0.152,2.8332,1976.0
