Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
14.4,36704830,778,47178.4,47088.0,42080,53440,1909.3,"cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::TrackData *, int)"
8.4,21300314,1799,11840.1,10816.0,10496,17376,2286.3,"cuvslam::cuda::sba::reduced_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int, float, float)"
6.6,16745700,2600,6440.7,3488.0,3328,16576,5018.7,"cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)"
5.9,14995126,1799,8335.3,8416.0,2304,8672,585.3,"cuvslam::cuda::sba::reduced_system_stage_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, float)"
5.8,14892394,1799,8278.2,8256.0,5056,8737,359.4,"void trsv_lt_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
5.7,14431021,899,16052.3,15968.0,6400,26400,3842.4,"cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
5.4,13852556,1799,7700.1,7776.0,6720,8256,417.6,"void kernel<getrf_wo_pivot_params_<float, (int)0, (int)128, (int)1, (int)32, (int)32, (int)32, (int)8, (int)1, (int)1>>(int, int, void *, int, void *, int, int, int, int, int, int *)"
4.2,10820026,1799,6014.5,5920.0,4288,6464,252.7,"void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, const T1 *, long, T1 *, long, int *)"
4.0,10089633,3120,3233.9,2320.0,2112,7200,1774.4,"cuvslam::cuda::conv_grad_x_kernel(unsigned long long, uint2, float *, unsigned long)"
3.1,7927520,3598,2203.3,2208.0,2144,2272,23.6,"cuvslam::cuda::sba::point_term_kernel(float3 *, cuvslam::cuda::Mat<float, (int)3, (int)3> *, int, bool, float *)"
2.8,7165974,3598,1991.7,1984.0,1920,2176,32.9,"cuvslam::cuda::sba::reduce_abs_max_kernel(float *, unsigned long, float *)"
2.7,6908669,2057,3358.6,3392.0,3104,3968,126.2,"cuvslam::cuda::sba::evaluate_cost_kernel(float *, int *, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, cuvslam::cuda::sba::GPUParameterUpdateMeta, float)"
2.3,5951247,899,6619.9,6624.0,6080,6752,58.3,"cuvslam::cuda::sba::build_full_system_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta)"
2.3,5770420,260,22193.9,22176.0,21952,23392,106.0,"cuvslam::cuda::gftt_values_kernel(unsigned long long, unsigned long long, float *, unsigned long, uint2)"
2.2,5616430,1560,3600.3,2400.0,2272,8704,2271.5,"cuvslam::cuda::conv_grad_y_kernel(unsigned long long, uint2, float *, unsigned long)"
1.8,4502575,1799,2502.8,2912.0,1824,3073,481.3,"cuvslam::cuda::sba::calc_pose_update_kernel(cuvslam::cuda::Mat<float, (int)4, (int)4> *, cuvslam::cuda::sba::float6 *, int)"
1.7,4214507,1799,2342.7,2336.0,2240,2400,21.7,"cuvslam::cuda::sba::v1T_x_M_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *, bool)"
1.6,4014253,1799,2231.4,2240.0,2144,2272,21.0,"cuvslam::cuda::sba::reduced_system_stage_3_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int)"
1.5,3929642,1799,2184.3,2176.0,2144,2240,19.1,"cuvslam::cuda::sba::pose_scaling_term_kernel(float *, float *, unsigned long, int, float *)"
1.4,3627657,1799,2016.5,2016.0,1920,2144,47.7,"cuvslam::cuda::sba::v1T_x_M_T_x_v2_kernel(float *, float *, unsigned long, int, int, float *, float *)"
1.3,3218343,1799,1789.0,1792.0,1728,2048,32.0,"cuvslam::cuda::sba::reduced_system_stage_12_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
1.3,3195410,1799,1776.2,1792.0,1696,1888,43.9,"cuvslam::cuda::sba::calc_point_update_kernel_xavier_special(float *, float *, unsigned long, float *, float *, int, int)"
1.2,3017746,520,5803.4,5792.0,5728,6528,79.1,"cuvslam::cuda::cast_image_kernel(const unsigned char *, unsigned long, float *, unsigned long, uint2)"
1.1,2824132,1799,1569.8,1600.0,1472,1664,49.7,"cuvslam::cuda::sba::make_prediction(float, float, float *, float *, float *, float *, float *)"
1.1,2731883,260,10507.2,10496.0,10336,10720,64.2,"void cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::merge_sort::policy_hub<cuvslam::cuda::Keypoint *>::Policy600, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, cuvslam::cuda::Keypoint *, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType *, unsigned long long, cuvslam::cuda::KeypointGreater, cuvslam::cuda::Keypoint, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::NullType>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::CUB_300001_SM_750_800_860_870_880_890_900_1000_1030_1100_1200_1210::detail::vsmem_t)"
0.9,2398763,899,2668.3,2656.0,2272,3424,50.5,"cuvslam::cuda::sba::calc_jacobians_kernel(cuvslam::cuda::sba::GPUModelFunctionMeta, cuvslam::cuda::sba::GPUBundleAdjustmentProblemMeta, float)"
0.9,2349706,899,2613.7,2592.0,1408,3041,332.2,"cuvslam::cuda::sba::clear_full_system_stage_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, int, int)"
0.9,2272750,1799,1263.3,1249.0,1216,1312,17.5,"copy_info_kernel(int, int *)"
0.9,2268298,1799,1260.9,1248.0,1216,1281,17.2,"xxtrf4_set_info_ker(int, int *)"
0.9,2267203,1799,1260.3,1248.0,1216,1312,19.0,"dtrsv_init_up(int *, int)"
0.9,2265349,1799,1259.2,1248.0,1216,1312,18.4,dtrsv_init(int *)
