kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_track_with_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,26.013,0.143,50.32,0.2,16.9,2.1,1.214,1.5417e+06,long_scoreboard,17 sectors/request (4 = coalesced),2026-07-04_054617_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.552,0.032,278.47,1.1,25.5,2.1,0.328,187941,long_scoreboard,26 sectors/request (4 = coalesced),2026-07-04_054617_mav0_ncu_dellworkstation_sm89
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.504,0.178,37.76,18.9,4.0,73.5,0.0,381623,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_054617_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.374,0.426,57.9,19.4,2.3,20.6,9.837,1.20988e+06,long_scoreboard,"long-scoreboard dominant at 21% occupancy, DRAM-SoL 19%",2026-07-04_054358_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.292,0.514,26.11,19.0,3.8,47.7,3.015,374744,long_scoreboard,memory-limited (MemSoL 45%) without a sharper signature,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.257,0.727,235.48,7.7,5.9,14.4,1.21,83478.6,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 8%",2026-07-04_054617_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.227,0.431,108.15,28.5,3.9,37.9,3.5,333154,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.207,0.411,122.79,26.4,3.9,38.8,3.469,328053,tex_throttle,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.138,0.043,17.78,0.9,25.2,2.1,21.819,37321.1,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 12%, DRAM-SoL 1%); note: scattered access (25 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.118,0.083,9.4,6.8,3.9,81.3,9.167,248137,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.08,0.343,373.83,1.5,2.0,7.2,0.055,36461.7,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.071,0.203,363.33,2.7,14.6,12.3,1.212,417024,long_scoreboard,15 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.064,0.335,344.53,1.1,2.0,7.1,0.06,22546.3,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.055,0.332,388.0,3.5,5.6,8.1,0.684,59721.1,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%)",2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.051,0.403,385.55,1.6,3.6,15.2,0.0,12269.7,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 2%",2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.047,0.204,35.66,9.6,10.6,76.8,1.296,139282,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.047,0.644,463.53,4.4,22.9,13.5,0.278,31460.6,long_scoreboard,23 sectors/request (4 = coalesced),2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.042,0.675,96.0,10.1,2.4,37.4,0.47,130706,long_scoreboard,memory-limited (MemSoL 10%) without a sharper signature,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.034,0.51,127.66,12.3,3.9,15.9,0.73,129810,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 12%",2026-07-04_054358_mav0_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G1-bandwidth↔G3-l2-reuse,weak,"weak, cache-friendly",0.032,0.348,38.55,41.5,4.0,85.3,16.09,2.89485e+06,long_scoreboard,memory-limited but LFMR 0.35 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.032,0.366,1071.43,1.2,4.0,4.7,0.047,12068.6,wait,"'wait' stall dominant at 5% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_054358_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.025,0.827,88.48,17.2,2.4,64.7,0.461,130688,long_scoreboard,memory-limited (MemSoL 17%) without a sharper signature,2026-07-04_054358_mav0_ncu_dellworkstation_sm89
