kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",1.112,0.175,36.77,18.6,4.0,73.5,0.0,371584,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_060238_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.338,0.414,56.54,21.2,2.3,23.2,10.001,1.29376e+06,long_scoreboard,"long-scoreboard dominant at 23% occupancy, DRAM-SoL 21%",2026-07-04_060037_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G0-nosignal↔G1-bandwidth,strong,near-sensor SRAM (consume before DRAM),0.303,0.526,26.25,20.7,3.8,50.2,3.0,436344,not_selected,memory-limited (MemSoL 48%) without a sharper signature,2026-07-04_060037_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.276,0.211,477.48,2.8,19.3,11.6,1.24,282240,long_scoreboard,19 sectors/request (4 = coalesced),2026-07-04_060037_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.193,0.438,107.6,28.6,3.9,37.8,3.517,331456,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_060037_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.172,0.422,124.06,26.8,3.9,38.7,3.433,331452,long_scoreboard,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_060037_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G2-coalescing↔G4-latency,conditional,scatter-capable PiM — or a data-layout fix first,0.099,0.634,224.5,3.0,8.4,15.3,1.524,105877,long_scoreboard,8 sectors/request (4 = coalesced),2026-07-04_060037_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.074,0.035,23.02,1.1,26.6,2.1,22.165,28288,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 15%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_060037_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.046,0.326,343.89,3.5,2.0,8.1,0.854,57685.3,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_060037_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.044,0.119,172.36,5.3,26.9,14.3,6.82,82816,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_060037_mav0_ncu_dellworkstation_sm89
