kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
st_track_with_cache_kernel,slam_loop,cold-persistent,G4-latency,low,stable,strong,ISP / near-storage scan engine,7.518,0.595,305.26,1.1,4.3,2.1,0.145,5.80151e+06,long_scoreboard,"long-scoreboard dominant at 2% occupancy, DRAM-SoL 1%; only n=3 profiled launches — small sample",2026-07-04_055617_mav0_ncu_dellworkstation_sm89
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.52,0.178,37.24,18.8,4.0,73.5,0.0,376347,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_055617_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.449,0.419,52.61,16.8,2.3,20.1,10.989,1.48867e+06,long_scoreboard,"long-scoreboard dominant at 20% occupancy, DRAM-SoL 17%",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.445,0.036,277.64,1.0,22.7,2.1,0.295,166848,long_scoreboard,23 sectors/request (4 = coalesced),2026-07-04_055617_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G0-nosignal↔G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.316,0.522,26.02,20.2,3.8,49.8,3.026,420379,not_selected,memory-limited (MemSoL 47%) without a sharper signature,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.276,0.677,252.13,6.2,5.5,14.3,1.12,66306.3,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 6%",2026-07-04_055617_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.256,0.204,343.79,4.0,14.0,11.6,1.229,556448,long_scoreboard,14 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.194,0.429,106.74,28.2,3.9,37.8,3.546,328828,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.171,0.411,122.78,26.6,3.9,38.6,3.469,328047,tex_throttle,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.146,0.067,11.69,7.8,3.9,85.0,8.235,352603,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.104,0.033,17.94,1.3,26.6,2.1,28.76,41837.7,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 23%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,borderline:G2-coalescing↔G3-l2-reuse,conditional,scatter-capable PiM — or a data-layout fix first,0.08,0.389,103.14,5.7,8.1,15.5,3.006,247904,long_scoreboard,8 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.078,0.329,411.86,1.5,2.0,7.1,0.059,36059.4,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.062,0.33,412.27,1.2,2.0,7.0,0.065,22546.3,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.061,0.329,292.06,3.2,6.0,8.1,1.249,59757.7,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.058,0.407,222.76,0.9,3.6,15.5,0.0,7634.29,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.057,0.194,35.32,11.2,10.7,78.0,1.309,198016,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.051,0.698,95.06,11.7,2.4,49.0,0.475,185490,long_scoreboard,memory-limited (MemSoL 12%) without a sharper signature,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.047,0.684,334.88,4.7,24.2,13.6,0.382,33316.6,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.042,0.518,158.74,14.4,3.9,16.5,0.657,184210,long_scoreboard,"long-scoreboard dominant at 17% occupancy, DRAM-SoL 14%",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.037,0.12,165.86,7.8,27.1,14.5,7.228,152640,long_scoreboard,27 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.032,0.863,87.43,18.7,2.4,61.1,0.467,185070,long_scoreboard,memory-limited (MemSoL 19%) without a sharper signature,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.026,0.006,1.85,0.2,24.0,41.1,0.0,2912,wait,24 sectors/request (4 = coalesced); only n=4 profiled launches — small sample,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.025,0.426,2921.68,3.3,4.0,5.7,0.023,25069.7,wait,"'wait' stall dominant at 6% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.024,0.282,11.04,1.0,2.3,13.9,4.998,7149.71,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.023,0.3,172.46,0.7,13.5,12.4,0.304,4900.57,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G3-l2-reuse,medium,stable,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.016,0.254,2739.5,0.6,1.0,2.1,0.005,2980.57,long_scoreboard,memory-limited but LFMR 0.25 — the L2 is earning its keep,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
dtrsv_init_up,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.261,9396.83,0.7,1.0,2.1,0.0,2706.29,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.252,10714.29,0.7,1.0,2.1,0.0,2742.86,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
xxtrf4_set_info_ker,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.249,11020.41,0.6,1.0,2.1,0.0,2468.57,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
copy_info_kernel,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.013,0.255,11102.04,0.6,1.0,2.1,0.0,2486.86,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::update_points_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.008,0.463,2038.41,5.4,31.6,14.4,0.057,31701.3,long_scoreboard,32 sectors/request (4 = coalesced); only n=3 profiled launches — small sample,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.008,0.256,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); only n=4 profiled launches — small sample",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
sba::update_poses_kernel,bundle_adjust,hot-persistent,G4-latency,low,stable,strong,"near-memory compute (latency, uncacheable set)",0.007,0.472,6036.53,5.4,4.0,8.9,0.014,28202.7,long_scoreboard,"long-scoreboard dominant at 9% occupancy, DRAM-SoL 5%; only n=3 profiled launches — small sample",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.006,0.332,439.92,0.5,2.7,3.9,0.0,6912,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_055431_mav0_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G7-dependency,low,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.005,0.349,142.0,6.3,12.1,16.5,0.0,70400,wait,"'wait' stall dominant at 16% occupancy; memory is not the wall (MemSoL 6%, DRAM-SoL 6%); note: scattered access (12 sect/req) — re-screen for PiM once occupancy is fixed; only n=1 profiled launches — small sample",2026-07-04_055431_mav0_ncu_dellworkstation_sm89
