kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,1.593,0.333,87.4,11.8,4.8,90.0,0.0,1.40307e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_063505_kitti02_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.73,0.03,303.04,1.8,28.0,2.1,0.335,280422,long_scoreboard,28 sectors/request (4 = coalesced),2026-07-04_063505_kitti02_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.6,0.207,322.1,3.6,12.8,13.0,1.194,514830,long_scoreboard,13 sectors/request (4 = coalesced),2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.441,0.781,187.56,11.0,7.7,14.6,2.317,128457,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 11%",2026-07-04_063505_kitti02_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.24,0.51,66.96,19.0,2.3,18.3,8.712,1.65233e+06,long_scoreboard,"long-scoreboard dominant at 18% occupancy, DRAM-SoL 19%",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.193,0.542,26.09,24.3,4.0,57.5,3.049,636152,not_selected,memory-limited (MemSoL 58%) without a sharper signature,2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.172,0.386,94.48,5.3,7.3,15.4,3.046,219961,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 5%",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.158,0.067,11.19,7.6,3.9,84.1,8.42,325680,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.13,0.452,107.14,36.7,4.0,47.2,3.542,512890,tex_throttle,memory-limited (MemSoL 37%) without a sharper signature,2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.121,0.057,40.67,2.7,25.9,2.1,12.391,89840,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 22%, DRAM-SoL 3%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.103,0.436,123.51,34.6,4.0,48.5,3.445,515029,mio_throttle,dominant stall mio_throttle (7.7 warps) with DRAM unsaturated,2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.09,0.395,875.0,3.1,2.0,7.1,0.028,76608,long_scoreboard,"long-scoreboard dominant at 7% occupancy, DRAM-SoL 3%",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.071,0.332,411.94,1.2,2.0,7.0,0.066,22528,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.07,0.378,443.7,4.8,6.0,8.1,0.822,90784,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 5%, DRAM-SoL 5%)",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.064,0.203,35.39,10.6,10.6,78.1,1.307,182928,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.06,0.094,166.51,8.6,26.8,14.7,7.14,138496,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.056,0.392,219.09,0.9,3.6,15.4,0.0,7360,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G0-nosignal↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.051,0.005,2.02,0.2,24.0,41.2,0.0,2928,wait,24 sectors/request (4 = coalesced),2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.05,0.693,95.11,11.1,2.4,46.7,0.475,171209,long_scoreboard,memory-limited (MemSoL 11%) without a sharper signature,2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.047,0.672,316.02,4.3,23.6,13.6,0.388,31076.6,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.045,0.517,152.0,14.1,3.9,16.4,0.671,170288,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 14%",2026-07-04_063124_kitti02_ncu_dellworkstation_sm89
