kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.83,0.339,88.9,12.0,4.8,90.1,0.0,1.39315e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_065343_kitti07_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.587,0.228,440.56,3.9,14.8,11.0,1.011,627616,long_scoreboard,15 sectors/request (4 = coalesced),2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.508,0.034,325.96,1.6,27.7,2.1,0.307,254318,long_scoreboard,28 sectors/request (4 = coalesced),2026-07-04_065343_kitti07_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.333,0.474,64.01,17.2,2.3,19.6,9.02,1.5581e+06,long_scoreboard,"long-scoreboard dominant at 20% occupancy, DRAM-SoL 17%",2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.317,0.761,184.77,9.4,7.2,14.5,2.344,106061,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 9%",2026-07-04_065343_kitti07_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.24,0.539,25.59,23.8,3.9,57.3,3.05,619072,not_selected,memory-limited (MemSoL 56%) without a sharper signature,2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.164,0.385,93.52,5.2,7.1,15.5,3.034,230448,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 5%",2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.161,0.448,107.79,36.5,4.0,47.0,3.535,509640,tex_throttle,memory-limited (MemSoL 37%) without a sharper signature,2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.138,0.429,120.09,33.2,4.0,48.3,3.534,493491,mio_throttle,dominant stall mio_throttle (7.8 warps) with DRAM unsaturated,2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.135,0.053,10.88,7.4,3.9,83.4,8.532,311150,long_scoreboard,memory-limited but LFMR 0.05 — the L2 is earning its keep,2026-07-04_065210_kitti07_ncu_dellworkstation_sm89
