kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",0.861,0.18,37.63,19.0,4.0,73.5,0.0,380328,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_061551_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.453,0.413,57.91,19.3,2.3,20.3,9.808,1.3572e+06,long_scoreboard,"long-scoreboard dominant at 20% occupancy, DRAM-SoL 19%",2026-07-04_061347_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.325,0.518,26.06,19.8,3.8,48.7,3.021,397890,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_061347_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.24,0.411,122.79,26.5,3.9,38.6,3.468,328076,long_scoreboard,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_061347_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.233,0.03,256.65,1.4,25.1,2.1,0.354,233173,long_scoreboard,25 sectors/request (4 = coalesced); only n=3 profiled launches — small sample,2026-07-04_061551_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.227,0.433,109.65,29.0,3.9,38.0,3.452,337783,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_061347_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.137,0.21,344.13,3.6,14.0,12.2,1.224,538496,long_scoreboard,14 sectors/request (4 = coalesced); only n=2 profiled launches — small sample,2026-07-04_061347_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.123,0.685,184.72,5.2,6.8,14.4,2.283,57013.3,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 5%",2026-07-04_061551_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.117,0.067,11.06,7.5,4.0,84.2,8.459,318741,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_061347_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.078,0.026,18.81,1.4,26.8,2.1,27.599,39232,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 24%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_061347_mav0_ncu_dellworkstation_sm89
