kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.455,0.335,87.06,11.8,4.8,90.1,0.0,1.36427e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_070611_kitti10_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.713,0.207,376.57,2.0,15.0,10.8,1.177,349710,long_scoreboard,15 sectors/request (4 = coalesced),2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.649,0.039,365.65,1.7,26.0,2.1,0.256,265017,long_scoreboard,26 sectors/request (4 = coalesced),2026-07-04_070611_kitti10_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.35,0.774,181.24,10.2,7.6,14.6,2.392,118122,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 10%",2026-07-04_070611_kitti10_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,low,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.158,0.511,54.53,21.7,2.3,21.0,11.052,1.86326e+06,long_scoreboard,"long-scoreboard dominant at 21% occupancy, DRAM-SoL 22%; only n=4 profiled launches — small sample",2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.15,0.385,79.45,4.4,6.3,15.2,3.36,157668,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 4%",2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.143,0.539,25.59,23.9,3.9,57.3,3.05,619061,not_selected,memory-limited (MemSoL 57%) without a sharper signature,2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.119,0.083,7.95,6.0,3.9,78.7,10.066,193024,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.099,0.034,22.62,1.1,26.2,2.1,22.492,28816,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 15%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.097,0.44,104.52,35.3,4.0,47.0,3.646,494165,tex_throttle,memory-limited (MemSoL 36%) without a sharper signature,2026-07-04_070429_kitti10_ncu_dellworkstation_sm89
