kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel,preprocess,streaming,G3-l2-reuse,medium,stable,weak,"weak, cache-friendly",1.027,0.178,37.24,18.8,4.0,73.6,0.0,376421,long_scoreboard,memory-limited but LFMR 0.18 — the L2 is earning its keep,2026-07-04_061913_mav0_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.276,0.409,52.52,16.6,2.3,20.8,10.986,1.41998e+06,long_scoreboard,"long-scoreboard dominant at 21% occupancy, DRAM-SoL 17%",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.187,0.519,26.06,19.7,3.8,48.9,3.021,397894,long_scoreboard,memory-limited (MemSoL 46%) without a sharper signature,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.172,0.092,71.57,2.2,25.1,2.1,6.397,92316.4,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 10%, DRAM-SoL 2%); note: scattered access (25 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.147,0.083,7.55,5.7,3.9,79.0,10.329,180531,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.129,0.429,106.75,28.2,3.9,38.0,3.545,328859,tex_throttle,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.114,0.334,370.21,1.5,2.0,7.2,0.055,36108.8,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.103,0.434,127.02,27.4,3.9,38.6,3.353,339364,tex_throttle,memory-limited (MemSoL 34%) without a sharper signature,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.092,0.328,344.25,1.1,2.0,7.1,0.06,22528,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.079,0.032,266.81,1.1,24.0,2.1,0.325,193920,long_scoreboard,24 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_061913_mav0_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.078,0.329,387.86,3.5,5.6,8.1,0.684,59699.2,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 4%, DRAM-SoL 4%)",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.066,0.347,195.46,0.8,3.6,15.1,0.0,5948.63,long_scoreboard,memory-limited but LFMR 0.35 — the L2 is earning its keep,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.065,0.206,345.64,2.1,13.6,10.7,1.166,298624,long_scoreboard,14 sectors/request (4 = coalesced); only n=1 profiled launches — small sample,2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.06,0.57,300.79,2.7,23.1,13.4,0.372,19029.3,long_scoreboard,23 sectors/request (4 = coalesced),2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.051,0.745,224.84,8.1,6.4,14.5,1.251,88243.2,long_scoreboard,"long-scoreboard dominant at 14% occupancy, DRAM-SoL 8%",2026-07-04_061729_mav0_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.05,0.209,36.21,8.4,10.6,74.8,1.277,100708,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_061729_mav0_ncu_dellworkstation_sm89
