kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.563,0.339,89.08,12.0,4.8,90.1,0.0,1.396e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_064550_kitti05_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.714,0.211,344.41,2.8,13.8,11.8,1.201,476331,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.581,0.032,321.66,1.7,27.9,2.1,0.314,268384,long_scoreboard,28 sectors/request (4 = coalesced),2026-07-04_064550_kitti05_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.348,0.784,181.29,11.0,7.8,14.6,2.411,129018,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 11%",2026-07-04_064550_kitti05_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.242,0.496,60.81,18.3,2.3,17.9,9.713,1.60128e+06,long_scoreboard,"long-scoreboard dominant at 18% occupancy, DRAM-SoL 18%",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.192,0.539,25.59,23.8,3.9,57.3,3.05,619064,not_selected,memory-limited (MemSoL 57%) without a sharper signature,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.177,0.416,111.57,6.4,6.4,15.5,2.355,272370,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 6%",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.142,0.097,12.19,8.5,3.9,81.8,7.213,327104,long_scoreboard,memory-limited but LFMR 0.10 — the L2 is earning its keep,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.129,0.441,104.53,35.3,4.0,47.2,3.646,494214,tex_throttle,memory-limited (MemSoL 36%) without a sharper signature,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.111,0.059,45.32,2.7,25.8,2.1,11.07,80656,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 19%, DRAM-SoL 3%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.103,0.436,122.04,33.8,4.0,48.5,3.477,501530,mio_throttle,dominant stall mio_throttle (7.7 warps) with DRAM unsaturated,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.078,0.322,412.28,1.5,2.0,7.1,0.059,36096,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.067,0.114,163.29,7.9,26.8,14.8,7.254,127218,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.062,0.336,411.27,1.2,2.0,7.0,0.066,22491.4,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.061,0.328,292.06,3.2,6.0,8.1,1.249,59757.7,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.055,0.2,35.67,9.9,10.6,75.6,1.296,147488,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,n/a,—,0.054,0.006,2.52,0.2,24.0,41.7,0.0,2944,wait,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.054,0.642,376.84,3.6,23.3,13.4,0.352,25848,long_scoreboard,23 sectors/request (4 = coalesced),2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.053,0.377,209.7,0.8,3.6,15.3,0.0,6738.29,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.043,0.703,113.32,12.3,2.4,40.0,0.398,163968,long_scoreboard,memory-limited (MemSoL 12%) without a sharper signature,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.042,0.512,133.0,12.3,3.9,16.1,0.715,137488,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 12%",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G1-bandwidth↔G3-l2-reuse,weak,"weak, cache-friendly",0.039,0.337,38.12,43.0,4.0,85.7,16.225,3.65274e+06,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
lk_track_horizontal_kernel,tracking,streaming+hot,G1-bandwidth,low,borderline:G1-bandwidth↔G4-latency,strong,near-sensor SRAM (consume before DRAM),0.035,0.453,47.77,21.9,2.3,27.8,11.063,1.65338e+06,long_scoreboard,memory-limited (MemSoL 29%) without a sharper signature,2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.026,0.287,173.42,0.7,13.5,12.4,0.302,4928,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_064312_kitti05_ncu_dellworkstation_sm89
