kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.417,0.337,89.63,12.1,4.8,89.9,0.0,1.43901e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_062427_kitti00_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.583,0.034,325.47,1.7,27.0,2.1,0.3,265376,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_062427_kitti00_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.569,0.204,342.5,3.3,13.6,13.2,1.192,505184,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.37,0.777,179.66,10.5,7.7,14.6,2.419,122677,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 10%",2026-07-04_062427_kitti00_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.265,0.473,64.1,21.6,2.3,21.4,8.997,1.55461e+06,long_scoreboard,"long-scoreboard dominant at 21% occupancy, DRAM-SoL 22%",2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.23,0.54,26.1,24.6,4.0,57.2,3.05,644244,not_selected,memory-limited (MemSoL 58%) without a sharper signature,2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.167,0.387,89.49,4.9,6.8,15.5,3.07,219872,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 5%",2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.161,0.441,106.09,36.4,4.0,47.2,3.577,507843,tex_throttle,memory-limited (MemSoL 37%) without a sharper signature,2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.138,0.429,121.62,34.1,4.0,48.6,3.499,507130,mio_throttle,dominant stall mio_throttle (7.6 warps) with DRAM unsaturated,2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.128,0.08,10.58,7.5,4.0,82.8,8.651,295698,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-04_062039_kitti00_ncu_dellworkstation_sm89
