kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,1.762,0.335,87.04,11.8,4.8,90.1,0.0,1.36407e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_065009_kitti06_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.652,0.034,346.7,1.6,28.3,2.1,0.297,257124,long_scoreboard,28 sectors/request (4 = coalesced),2026-07-04_065009_kitti06_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.597,0.252,500.23,4.7,13.1,12.0,0.789,769712,long_scoreboard,13 sectors/request (4 = coalesced),2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.429,0.783,180.3,11.2,7.8,14.7,2.4,132439,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 11%",2026-07-04_065009_kitti06_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.323,0.507,68.66,18.7,2.3,18.4,8.469,1.63762e+06,long_scoreboard,"long-scoreboard dominant at 18% occupancy, DRAM-SoL 19%",2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.239,0.54,25.59,23.9,3.9,57.3,3.05,619085,not_selected,memory-limited (MemSoL 57%) without a sharper signature,2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.162,0.446,108.28,36.6,4.0,47.4,3.519,511928,tex_throttle,memory-limited (MemSoL 37%) without a sharper signature,2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.158,0.385,93.83,5.2,7.3,15.5,3.066,221008,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 5%",2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.136,0.085,10.93,7.4,4.0,84.0,8.513,312667,long_scoreboard,memory-limited but LFMR 0.09 — the L2 is earning its keep,2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.133,0.43,120.07,34.2,4.0,49.4,3.535,517477,mio_throttle,dominant stall mio_throttle (7.8 warps) with DRAM unsaturated,2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.101,0.03,18.49,1.2,26.3,2.1,27.691,38582.9,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 21%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.079,0.408,944.03,3.4,2.0,7.1,0.026,82651.4,long_scoreboard,"long-scoreboard dominant at 7% occupancy, DRAM-SoL 3%",2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.062,0.335,411.6,1.2,2.0,7.0,0.066,22509.7,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.061,0.331,292.06,3.2,6.0,8.1,1.249,59757.7,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.06,0.107,165.28,8.4,27.0,14.7,7.184,136384,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_064805_kitti06_ncu_dellworkstation_sm89
