kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.135,0.345,92.33,12.5,4.8,90.0,0.0,1.44685e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_070246_kitti09_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.58,0.039,371.81,1.4,26.9,2.1,0.261,218576,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_070246_kitti09_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.556,0.207,344.32,3.5,13.9,12.2,1.208,526032,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.391,0.773,179.88,10.0,7.8,14.6,2.432,116889,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 10%",2026-07-04_070246_kitti09_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.251,0.47,67.16,22.5,2.3,21.0,8.511,1.53024e+06,long_scoreboard,"long-scoreboard dominant at 21% occupancy, DRAM-SoL 23%",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.243,0.549,27.25,25.1,3.9,57.3,2.864,659149,not_selected,memory-limited (MemSoL 56%) without a sharper signature,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.162,0.45,109.37,36.8,4.0,47.1,3.484,517094,tex_throttle,memory-limited (MemSoL 38%) without a sharper signature,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.161,0.388,94.44,5.3,7.2,15.5,3.039,231616,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 5%",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.138,0.429,120.07,33.1,4.0,48.4,3.534,493434,mio_throttle,dominant stall mio_throttle (7.8 warps) with DRAM unsaturated,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.137,0.08,11.03,7.5,4.0,83.9,8.471,317056,long_scoreboard,memory-limited but LFMR 0.08 — the L2 is earning its keep,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.099,0.029,18.83,1.3,26.7,2.1,27.743,39277.7,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 22%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.078,0.324,412.7,1.5,2.0,7.1,0.059,36132.6,long_scoreboard,memory-limited but LFMR 0.32 — the L2 is earning its keep,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.062,0.331,411.27,1.2,2.0,7.0,0.066,22491.4,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::calc_jacobians_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.062,0.102,163.39,8.5,26.7,14.6,7.232,141744,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.061,0.329,291.88,3.2,6.0,8.1,1.25,59721.1,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.056,0.398,217.84,0.8,3.6,15.4,0.0,7268.57,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 1%",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.056,0.197,35.48,10.4,10.6,80.1,1.303,178030,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::clear_full_system_stage_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,borderline:G0-nosignal↔G2-coalescing,conditional,scatter-capable PiM — or a data-layout fix first,0.052,0.005,2.12,0.2,24.0,41.3,0.0,2976,wait,24 sectors/request (4 = coalesced),2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::v1T_x_M_T_x_v2_kernel,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.051,0.69,95.14,10.7,2.4,44.8,0.474,167131,long_scoreboard,memory-limited (MemSoL 11%) without a sharper signature,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::point_term_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.047,0.666,312.81,4.3,24.3,13.6,0.39,30400,long_scoreboard,24 sectors/request (4 = coalesced),2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
gftt_values_kernel,feature_detect,streaming,G3-l2-reuse,low,borderline:G1-bandwidth↔G3-l2-reuse,weak,"weak, cache-friendly",0.04,0.335,38.11,42.5,4.0,85.7,16.225,3.65261e+06,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep; only n=1 profiled launches — small sample,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::reduced_system_stage_3_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.039,0.516,149.85,13.7,4.0,16.3,0.675,165760,long_scoreboard,"long-scoreboard dominant at 16% occupancy, DRAM-SoL 14%",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::calc_point_update_kernel_xavier_special,bundle_adjust,hot-persistent,G1-bandwidth,low,stable,strong,DRAM-PiM (bank-level bandwidth),0.032,0.853,87.7,17.2,2.4,63.3,0.464,167131,long_scoreboard,memory-limited (MemSoL 17%) without a sharper signature,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
lk_track_horizontal_kernel,tracking,streaming+hot,G1-bandwidth,low,borderline:G1-bandwidth↔G4-latency,strong,near-sensor SRAM (consume before DRAM),0.031,0.46,58.14,24.3,2.3,30.7,8.799,1.63021e+06,long_scoreboard,memory-limited (MemSoL 25%) without a sharper signature,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::calc_pose_update_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.025,0.343,1255.86,1.4,4.0,5.8,0.053,10770.3,wait,"'wait' stall dominant at 6% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%)",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::v1T_x_M_x_v2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.023,0.303,10.96,1.0,2.3,14.0,5.037,7094.86,barrier,"'barrier' stall dominant at 14% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 1%)",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::pose_scaling_term_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.023,0.302,171.17,0.7,13.5,12.4,0.306,4864,barrier,"'barrier' stall dominant at 12% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%); note: scattered access (14 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
cub::DeviceMergeSortPartitionKernel,keypoint_sort,streaming,G3-l2-reuse,low,borderline:G3-l2-reuse↔G4-latency,weak,"weak, cache-friendly",0.019,0.34,458.62,0.5,3.2,3.8,0.0,7210.67,long_scoreboard,memory-limited but LFMR 0.34 — the L2 is earning its keep; only n=3 profiled launches — small sample,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::update_points_kernel,bundle_adjust,hot-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.018,0.422,2019.05,5.2,32.5,13.9,0.056,29074.3,long_scoreboard,32 sectors/request (4 = coalesced),2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::update_poses_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.017,0.287,1021.53,0.9,4.0,9.0,0.08,4772.57,long_scoreboard,memory-limited but LFMR 0.29 — the L2 is earning its keep,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::make_prediction,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.016,0.266,2705.88,0.6,1.0,2.1,0.005,2944,long_scoreboard,memory-limited but LFMR 0.27 — the L2 is earning its keep,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
cub::DeviceMergeSortMergeKernel,keypoint_sort,streaming,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.016,0.387,137.59,8.6,12.2,16.5,0.0,96938.7,long_scoreboard,12 sectors/request (4 = coalesced); only n=3 profiled launches — small sample,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
sba::clear_full_system_stage_2_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.015,0.255,1217.39,0.7,3.0,15.1,0.0,2688,wait,"'wait' stall dominant at 15% occupancy; memory is not the wall (MemSoL 1%, DRAM-SoL 1%)",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
non_max_suppression_kernel,feature_detect,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse,strong,near-sensor SRAM (consume before DRAM),0.015,0.382,77.62,57.2,3.9,88.0,0.0,1.82746e+06,long_scoreboard,DRAM-SoL 57%; LFMR 0.38 (L2 absorbing reuse); only n=1 profiled launches — small sample,2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
dtrsv_init,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.014,0.258,10785.71,0.7,1.0,2.1,0.0,2761.14,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 2%, DRAM-SoL 1%)",2026-07-04_070052_kitti09_ncu_dellworkstation_sm89
