kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,1.976,0.338,90.14,12.1,4.8,89.9,0.0,1.44715e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_062943_kitti01_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.654,0.032,303.98,1.7,27.1,2.1,0.325,271559,long_scoreboard,27 sectors/request (4 = coalesced),2026-07-04_062943_kitti01_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.401,0.754,184.35,8.9,7.5,14.6,2.219,102736,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 9%",2026-07-04_062943_kitti01_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.195,0.542,26.09,24.1,4.0,57.4,3.049,636152,not_selected,memory-limited (MemSoL 58%) without a sharper signature,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.191,0.044,23.12,0.8,25.8,2.1,21.216,34867.2,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 12%, DRAM-SoL 1%); note: scattered access (26 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,low,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.175,0.459,53.18,19.6,2.2,22.1,11.101,1.85488e+06,long_scoreboard,"long-scoreboard dominant at 22% occupancy, DRAM-SoL 20%; only n=4 profiled launches — small sample",2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,low,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.156,0.21,351.2,2.3,14.2,11.9,1.214,396352,long_scoreboard,14 sectors/request (4 = coalesced); only n=2 profiled launches — small sample,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.147,0.085,8.68,6.2,3.9,80.9,9.576,219122,long_scoreboard,memory-limited but LFMR 0.09 — the L2 is earning its keep,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.13,0.44,106.1,36.1,4.0,47.4,3.577,507885,tex_throttle,memory-limited (MemSoL 37%) without a sharper signature,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.103,0.331,370.22,1.5,2.0,7.1,0.055,36110.2,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_062801_kitti01_ncu_dellworkstation_sm89
