kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,1.815,0.335,87.05,11.8,4.8,90.0,0.0,1.36413e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_064152_kitti04_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.648,0.032,322.8,1.8,27.8,2.1,0.311,277490,long_scoreboard,28 sectors/request (4 = coalesced),2026-07-04_064152_kitti04_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.48,0.204,338.29,3.5,13.6,12.0,1.211,517595,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.421,0.776,176.85,10.4,7.9,14.6,2.487,122027,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 10%",2026-07-04_064152_kitti04_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.293,0.452,61.19,18.1,2.3,20.0,9.404,1.43514e+06,long_scoreboard,"long-scoreboard dominant at 20% occupancy, DRAM-SoL 18%",2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,borderline:G1-bandwidth↔G5-compute,strong,near-sensor SRAM (consume before DRAM),0.248,0.536,25.63,23.3,3.9,55.6,3.044,570618,not_selected,memory-limited (MemSoL 55%) without a sharper signature,2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.182,0.451,105.29,37.5,4.0,49.2,3.617,546138,tex_throttle,memory-limited (MemSoL 38%) without a sharper signature,2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.161,0.432,120.0,34.8,4.0,51.3,3.537,552855,mio_throttle,dominant stall mio_throttle (8.1 warps) with DRAM unsaturated,2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.138,0.391,92.65,5.4,7.1,15.5,3.061,230272,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 5%",2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.135,0.071,10.74,7.3,3.9,83.8,8.582,304933,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_064043_kitti04_ncu_dellworkstation_sm89
