kernel,stage,persistence,class,confidence,stability,pim_affinity,substrate,time_ms,lfmr_gpu,mpki_gpu,dram_sol_pct,sectors_per_req,occupancy_pct,ai_flop_per_byte,dram_bytes_per_launch,dominant_stall,rationale,source
cast_image_kernel_rgb,preprocess,streaming,G5-compute,high,stable,none,host GPU,2.196,0.34,89.7,12.1,4.8,90.0,0.0,1.44002e+06,tex_throttle,"CompSoL 84% dominant, AI 0.0 FLOP/B",2026-07-04_063916_kitti03_ncu_dellworkstation_sm89
st_build_cache_kernel,slam_loop,cold-persistent,G2-coalescing,high,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.658,0.035,365.23,1.6,28.7,2.1,0.285,258560,long_scoreboard,29 sectors/request (4 = coalesced),2026-07-04_063916_kitti03_ncu_dellworkstation_sm89
sba::evaluate_cost_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.387,0.775,180.63,10.4,7.8,14.6,2.423,121524,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 10%",2026-07-04_063916_kitti03_ncu_dellworkstation_sm89
sba::build_full_system_1_kernel,bundle_adjust,hot-persistent,G2-coalescing,medium,stable,conditional,scatter-capable PiM — or a data-layout fix first,0.362,0.212,350.72,3.4,14.1,11.9,1.21,530765,long_scoreboard,14 sectors/request (4 = coalesced),2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
lk_track_kernel,tracking,streaming+hot,G4-latency,medium,borderline:G1-bandwidth↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.323,0.52,76.9,24.0,2.3,21.3,7.401,1.68553e+06,long_scoreboard,"long-scoreboard dominant at 21% occupancy, DRAM-SoL 24%",2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
gaussian_scaling_kernel,preprocess,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.299,0.539,26.07,23.8,4.0,56.3,3.051,592724,not_selected,memory-limited (MemSoL 56%) without a sharper signature,2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
conv_grad_x_kernel,feature_detect,streaming,G1-bandwidth,low,stable,strong,near-sensor SRAM (consume before DRAM),0.21,0.442,105.91,37.6,4.0,49.9,3.581,551226,tex_throttle,memory-limited (MemSoL 38%) without a sharper signature,2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
conv_grad_y_kernel,feature_detect,streaming,G6-onchip,medium,borderline:G1-bandwidth↔G6-onchip,none,host GPU,0.172,0.434,122.51,34.2,4.0,48.7,3.471,510915,mio_throttle,dominant stall mio_throttle (7.6 warps) with DRAM unsaturated,2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
sba::reduced_system_stage_2_kernel,bundle_adjust,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.139,0.075,11.33,7.8,3.9,84.0,8.359,334135,long_scoreboard,memory-limited but LFMR 0.07 — the L2 is earning its keep,2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
sba::reduced_system_stage_1_kernel,bundle_adjust,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.117,0.035,18.95,1.2,26.6,2.1,27.03,42093.7,wait,"'wait' stall dominant at 2% occupancy; memory is not the wall (MemSoL 20%, DRAM-SoL 1%); note: scattered access (27 sect/req) — re-screen for PiM once occupancy is fixed",2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
sba::build_full_system_2_kernel,bundle_adjust,hot-persistent,G4-latency,medium,borderline:G2-coalescing↔G3-l2-reuse↔G4-latency,conditional,raise occupancy first; PiM if the set defeats caches,0.094,0.39,100.92,5.7,8.0,15.4,3.032,232627,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 6%",2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
trsv_lt_exec,ba_solver,hot-persistent,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,weak,bigger/persisted L2 wins; PiM would forfeit the reuse,0.08,0.332,393.27,1.5,2.0,7.1,0.057,36114.3,long_scoreboard,memory-limited but LFMR 0.33 — the L2 is earning its keep,2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
trsv_ln_exec,ba_solver,hot-persistent,G4-latency,medium,borderline:G3-l2-reuse↔G4-latency,strong,"near-memory compute (latency, uncacheable set)",0.064,0.405,1003.16,3.0,2.0,7.0,0.024,59483.4,long_scoreboard,"long-scoreboard dominant at 7% occupancy, DRAM-SoL 3%",2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
getrf_wo_pivot_params,ba_solver,hot-persistent,G7-dependency,medium,stable,none,"host GPU — raise occupancy/ILP first, then re-screen",0.058,0.331,326.85,3.3,5.8,8.1,1.006,59776,wait,"'wait' stall dominant at 8% occupancy; memory is not the wall (MemSoL 3%, DRAM-SoL 3%)",2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
sba::reduced_system_stage_12_kernel,bundle_adjust,hot-persistent,G0-nosignal,low,stable,n/a,—,0.057,0.194,35.36,10.7,10.5,78.0,1.308,187666,barrier,no dominant bottleneck signal (short/latency-tax kernels),2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
sba::reduce_abs_max_kernel,bundle_adjust,hot-persistent,G4-latency,medium,stable,strong,"near-memory compute (latency, uncacheable set)",0.056,0.443,532.79,2.1,3.6,15.4,0.0,18029.7,long_scoreboard,"long-scoreboard dominant at 15% occupancy, DRAM-SoL 2%",2026-07-04_063751_kitti03_ncu_dellworkstation_sm89
