app,kernel,class,confidence,stability,dram_sol,lfmr,mpki,sect,occ,ai,t_base_ms,share_pct,s_core,s_mem,screened,signature
pb_2dconv,convolution2D_kernel,G1-bandwidth,low,stable,89.5,0.358,171.07,4.7,78.1,2.31,0.65,100.0,1.247,1.405,False,match
pb_3dconv,convolution3D_kernel,G1-bandwidth,high,stable,60.0,0.559,217.24,4.6,78.9,2.359,1.113,100.0,1.41,1.173,False,match
pb_2mm,mm2_kernel2,G3-l2-reuse,low,stable,1.1,0.005,3.96,4.0,99.5,101.495,8.52,49.9,1.921,0.998,False,match
pb_2mm,mm2_kernel1,G3-l2-reuse,low,stable,0.9,0.005,2.7,4.0,99.3,189.749,8.556,50.1,1.909,0.998,False,match
pb_3mm,mm3_kernel3,G3-l2-reuse,low,stable,0.8,0.005,3.12,4.0,99.0,127.494,1.129,33.46,1.847,0.999,False,match
pb_3mm,mm3_kernel1,G3-l2-reuse,low,stable,0.8,0.001,3.12,4.0,99.1,127.634,1.131,33.52,1.841,1.002,False,match
pb_3mm,mm3_kernel2,G3-l2-reuse,low,stable,0.8,0.004,3.12,4.0,99.5,127.564,1.114,33.02,1.856,1.018,False,match
pb_atax,atax_kernel1,G3-l2-reuse,low,stable,7.2,0.219,108.08,16.5,69.4,3.939,4.341,73.96,1.997,1.001,False,match
pb_atax,atax_kernel2,G1-bandwidth,low,stable,20.6,0.475,108.57,4.0,96.6,3.922,1.529,26.04,1.362,1.105,False,mismatch
pb_bicg,bicg_kernel1,G4-latency,low,stable,21.4,0.499,864.41,4.0,16.6,0.493,1.466,59.02,1.341,1.113,False,match
pb_bicg,bicg_kernel2,G2-coalescing,low,stable,32.7,0.503,865.71,16.5,16.6,0.492,1.018,40.98,1.5,1.028,False,match
pb_corr,corr_kernel,G3-l2-reuse,low,stable,0.4,0.007,44.91,31.5,15.6,7.3,1335.685,99.91,1.987,1.0,False,match
pb_corr,std_kernel,G4-latency,low,stable,10.4,0.499,590.81,4.0,16.6,0.751,0.359,0.03,1.686,1.0,True,
pb_corr,mean_kernel,G4-latency,low,stable,10.5,0.48,838.96,4.0,16.6,0.377,0.737,0.06,1.346,1.114,True,
pb_corr,reduce_kernel,G1-bandwidth,low,stable,85.2,0.326,166.38,4.0,76.7,2.088,0.088,0.01,1.82,1.0,True,
pb_covar,covar_kernel,G3-l2-reuse,low,stable,0.4,0.008,44.87,31.5,15.6,7.306,1336.107,99.94,1.987,1.0,False,match
pb_covar,mean_kernel,G4-latency,low,stable,10.6,0.496,852.09,4.0,16.6,0.372,0.736,0.06,1.345,1.113,True,
pb_covar,reduce_kernel,G1-bandwidth,low,stable,82.7,0.487,200.51,4.0,72.7,1.746,0.019,0.0,1.75,1.01,True,
pb_fdtd_2d,fdtd_step3_kernel,G1-bandwidth,high,stable,95.7,0.691,465.1,4.2,85.1,0.555,166.945,41.54,1.005,1.365,False,match
pb_fdtd_2d,fdtd_step1_kernel,G1-bandwidth,high,stable,96.0,0.641,359.95,4.0,79.7,1.068,114.738,28.55,1.046,1.344,False,match
pb_fdtd_2d,fdtd_step2_kernel,G1-bandwidth,high,stable,96.1,0.618,373.58,4.3,80.9,1.07,120.248,29.92,1.033,1.36,False,match
pb_gemm,gemm_kernel,G3-l2-reuse,low,stable,1.2,0.003,3.98,4.0,98.9,127.828,1.13,100.0,1.836,0.997,False,match
pb_gesummv,gesummv_kernel,G2-coalescing,low,stable,28.8,0.489,620.3,12.3,16.4,0.496,2.099,100.0,1.581,0.95,False,match
pb_mvt,mvt_kernel1,G3-l2-reuse,low,stable,7.8,0.231,116.84,16.5,69.8,3.645,4.341,73.98,1.996,1.001,False,match
pb_mvt,mvt_kernel2,G1-bandwidth,low,stable,22.7,0.501,120.71,4.0,96.6,3.528,1.527,26.02,1.367,1.105,False,mismatch
pb_syr2k,syr2k_kernel,G3-l2-reuse,low,stable,0.4,0.011,5.02,16.5,98.3,100.502,65.785,100.0,2.0,1.0,False,match
pb_syrk,syrk_kernel,G3-l2-reuse,low,stable,0.6,0.009,6.89,16.5,98.3,75.179,33.8,100.0,2.0,1.0,False,match
rod_gaussian,Fan2,G3-l2-reuse,medium,stable,20.2,0.146,82.27,5.5,29.4,2.595,1048.907,99.59,1.974,1.0,False,match
rod_gaussian,Fan1,G2-coalescing,high,stable,10.7,0.483,868.96,31.7,26.6,0.39,4.32,0.41,1.785,1.0,True,
rod_lud,lud_internal,G1-bandwidth,medium,borderline:G1-bandwidth↔G3-l2-reuse,54.2,0.331,110.35,4.0,83.1,4.398,89.358,91.66,1.689,1.088,False,mismatch
rod_lud,lud_perimeter,G6-onchip,medium,stable,7.9,0.474,24.96,2.0,22.5,5.387,4.919,5.05,1.942,1.008,False,match
rod_lud,lud_diagonal,G7-dependency,medium,stable,0.5,0.329,169.45,2.0,2.1,0.48,3.211,3.29,1.938,1.006,False,match
rod_nw,needle_cuda_shared_1,G4-latency,medium,stable,6.0,0.487,121.33,3.5,3.3,1.179,6.397,50.14,1.627,1.002,False,match
rod_pathfinder,dynproc_kernel,G1-bandwidth,low,stable,79.8,0.856,110.78,4.6,95.7,4.491,0.966,100.0,1.573,1.21,False,match
rod_particlefilter,find_index_kernel,G5-compute,high,stable,0.4,0.413,1.79,8.0,85.1,186.345,827.624,75.03,1.996,0.998,False,match
rod_particlefilter,likelihood_kernel,G5-compute,high,stable,1.0,0.05,19.49,29.1,89.7,12.942,193.807,17.57,2.0,1.0,False,match
rod_particlefilter,normalize_weights_kernel,G0-nosignal,low,borderline:G0-nosignal↔G7-dependency,0.5,0.646,490.63,1.4,37.2,0.124,81.593,7.4,1.851,1.0,False,n/a
rod_particlefilter,sum_kernel,G6-onchip,medium,stable,0.2,0.346,7.48,1.0,35.3,49.157,0.086,0.01,1.837,1.012,True,
rod_streamcluster,kernel_compute_cost,G1-bandwidth,high,stable,94.1,0.973,639.43,4.9,48.2,0.719,44.183,100.0,1.874,1.0,False,mismatch
hb_accuracy,accuracy_kernel,G1-bandwidth,high,stable,95.5,0.999,335.47,3.8,98.4,1.732,629.682,50.29,1.055,1.353,False,match
hb_adam,adam,G5-compute,high,stable,1.3,0.475,1.04,4.0,29.0,708.158,8.72,100.0,1.994,1.0,False,match
hb_adamw,fused_4bit_kernel,G1-bandwidth,high,stable,61.8,0.479,38.11,3.8,94.9,8.408,27.784,100.0,1.983,1.0,False,mismatch
hb_addBiasQKV,FP8TrtAddQKVBiasKernel,G1-bandwidth,high,stable,73.2,0.504,71.18,4.4,56.8,4.349,412.288,100.0,1.524,1.286,False,match
hb_adv,advCubatureHex3D,G5-compute,high,stable,10.7,0.33,192.84,7.6,16.6,0.161,12724.263,100.0,1.989,1.004,False,match
hb_affine,affine,G2-coalescing,medium,borderline:G2-coalescing↔G3-l2-reuse,36.6,0.394,44.88,21.6,71.8,7.258,6257.924,100.0,1.859,1.001,False,match
hb_aidw,AIDW_Kernel,G3-l2-reuse,medium,stable,0.4,0.112,0.38,4.0,87.8,1614.667,6507.956,60.36,1.995,1.0,False,match
hb_aidw,AIDW_Kernel_Tiled,G5-compute,low,stable,0.4,0.058,0.36,4.0,74.6,2564.308,4274.248,39.64,2.0,1.0,False,match
hb_aligned_types,testKernel,G1-bandwidth,low,stable,45.6,0.506,121.19,1.0,75.2,4.401,7270.303,100.0,1.18,1.277,False,match
hb_all_pairs_distance,k1,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G5-compute,1.5,0.007,0.91,4.0,90.8,565.589,5138.746,32.6,1.947,1.0,False,match
hb_amgmk,relax,G1-bandwidth,high,stable,85.6,0.463,778.68,20.7,90.5,0.617,20.143,100.0,1.901,0.999,False,mismatch
hb_aobench,render_kernel,G5-compute,high,stable,0.5,0.238,0.34,4.0,52.0,1815.713,31.664,100.0,1.995,1.0,False,match
hb_aop,compute_partial_beta_kernel,G5-compute,high,stable,3.5,0.829,26.15,6.4,47.3,4.638,684.475,58.6,1.986,1.0,False,match
hb_aop,prepare_svd_kernel,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,11.1,0.992,52.12,8.0,60.8,1.531,115.841,9.92,1.974,1.026,False,n/a
hb_aop,generate_paths_kernel,G5-compute,low,stable,20.5,0.515,348.71,8.0,71.5,0.776,96.115,8.23,1.999,1.0,False,match
hb_aop,compute_final_beta_kernel,G6-onchip,medium,stable,0.8,0.447,284.21,6.2,8.3,0.722,189.862,16.26,1.972,1.0,False,match
hb_aop,update_cashflow_kernel,G5-compute,medium,borderline:G1-bandwidth↔G5-compute,27.3,0.65,229.5,8.0,67.3,2.167,75.477,6.46,1.925,1.0,False,match
hb_asmooth,smoothingFilter,G3-l2-reuse,medium,stable,15.8,0.054,14.09,4.7,89.6,28.503,3179.574,68.29,1.739,1.002,False,match
hb_asmooth,outFilter,G1-bandwidth,low,borderline:G1-bandwidth↔G3-l2-reuse↔G5-compute,35.6,0.418,23.97,4.9,85.6,15.236,1066.938,22.92,1.83,1.03,False,mismatch
hb_asmooth,normalizeFilter,G1-bandwidth,high,stable,91.9,0.667,424.82,4.0,80.5,0.757,409.227,8.79,1.079,1.331,False,match
hb_assert,perfKernel2,G5-compute,low,stable,0.4,0.882,0.25,0.0,92.3,1746.842,,,,,True,
hb_assert,perfKernel,G5-compute,low,stable,0.4,0.909,0.25,0.0,92.3,1742.17,,,,,True,
hb_assert,testKernel,G0-nosignal,low,stable,,,,,,,,,,,True,
hb_asta,PTTWAC_soa_asta,G7-dependency,medium,stable,2.0,0.435,40.39,4.0,4.2,11.159,1689.621,100.0,1.723,1.027,False,match
hb_atan2,compute_f,G1-bandwidth,high,stable,95.6,0.67,118.02,4.0,86.0,8.109,57.738,35.25,1.138,1.361,False,match
hb_atomicAggregate,k,G5-compute,high,stable,0.3,0.025,2.2,0.0,88.0,245.586,7110.687,100.0,1.849,1.0,False,match
hb_atomicCAS,atomicMinDerived,G3-l2-reuse,medium,stable,0.8,0.037,3.76,1.0,78.3,151.897,233.721,6.29,1.593,1.0,False,match
hb_atomicCost,wiAtomicOnGlobalMem,G1-bandwidth,high,stable,94.5,1.0,445.83,0.0,82.2,1.433,1503.681,51.01,1.007,1.354,False,match
hb_atomicCost,woAtomicOnGlobalMem,G1-bandwidth,high,stable,94.7,0.502,396.25,6.0,82.1,1.371,1444.249,48.99,1.033,1.355,False,match
hb_atomicPerf,BlockRangeAtomicOnGlobalMem,G3-l2-reuse,medium,stable,0.6,0.02,12.11,0.0,83.9,32.104,437.478,3.64,1.207,0.999,False,mismatch
hb_atomicReduction,atomic_reduction,G1-bandwidth,high,stable,96.4,0.997,492.59,4.0,98.2,1.251,507.404,23.98,1.077,1.344,False,match
hb_atomicSystemWide,atomicKernel,G3-l2-reuse,low,stable,0.5,0.026,162.59,0.0,37.9,1.091,1126.345,100.0,1.285,1.01,False,mismatch
hb_attention,attention_kernel1,G2-coalescing,high,stable,31.7,0.637,1151.83,16.5,84.8,0.493,7865.762,68.23,1.031,0.96,False,inconclusive
hb_attention,attention_kernel3,G1-bandwidth,high,stable,68.0,0.995,922.84,4.0,16.6,0.495,3658.914,31.74,1.317,1.128,False,mismatch
hb_attention,attention_kernel2,G1-bandwidth,low,stable,34.8,0.495,132.33,4.0,78.7,2.598,3.512,0.03,1.452,1.106,True,
hb_attention_paged,paged_attention_v1_kernel,G1-bandwidth,high,stable,96.1,0.559,406.8,10.3,24.7,1.019,187.141,99.64,1.361,1.279,False,match
hb_attention_paged,uniform_fill_kernel,G1-bandwidth,low,stable,73.4,0.001,77.92,4.0,58.2,7.7,0.677,0.36,1.662,1.126,True,
hb_attention_paged,norm_fill_kernel,G7-dependency,low,stable,1.3,0.282,1362.32,4.0,12.1,0.285,0.004,0.0,1.586,1.045,True,
hb_attentionMergeState,merge_attn_states_kernel,G1-bandwidth,high,stable,95.4,0.654,246.26,8.5,93.6,1.407,387.37,99.91,1.089,1.335,False,match
hb_attentionMergeState,uniform_fill_kernel,G3-l2-reuse,low,stable,33.4,0.002,26.78,4.0,48.7,22.979,0.34,0.09,1.791,1.063,True,
hb_attentionMultiHead,mha,G0-nosignal,low,borderline:G0-nosignal↔G2-coalescing,37.5,0.924,220.64,7.8,46.9,1.473,878.029,100.0,1.875,1.0,False,n/a
hb_axpby,multi_tensor_apply_kernel,G1-bandwidth,low,borderline:G0-nosignal↔G1-bandwidth↔G5-compute,34.3,0.647,33.63,4.7,74.1,13.672,432.547,100.0,1.161,1.307,False,match
hb_babelstream,nstream_kernel,G1-bandwidth,high,stable,96.1,0.751,989.14,4.0,90.0,0.253,773.067,24.58,1.004,1.36,False,match
hb_babelstream,add_kernel,G1-bandwidth,high,stable,95.9,0.667,833.89,4.0,86.7,0.343,589.727,18.75,1.007,1.361,False,match
hb_babelstream,triad_kernel,G1-bandwidth,high,stable,95.9,0.667,833.69,4.0,87.2,0.343,588.633,18.71,1.006,1.36,False,match
hb_babelstream,mul_kernel,G1-bandwidth,high,stable,94.7,0.502,638.83,4.0,83.7,0.391,397.401,12.63,1.026,1.354,False,match
hb_babelstream,copy_kernel,G1-bandwidth,high,stable,95.0,0.5,695.44,4.0,83.5,0.392,391.909,12.46,1.029,1.353,False,match
hb_babelstream,dot_kernel,G1-bandwidth,high,stable,97.1,1.0,792.22,4.0,96.8,0.626,399.05,12.69,1.004,1.362,False,match
hb_babelstream,init_kernel,G1-bandwidth,low,stable,96.7,0.0,719.88,4.0,65.7,0.347,5.63,0.18,1.123,1.408,True,
hb_background_subtract,updateThreshold,G5-compute,high,stable,25.6,0.798,137.1,1.0,90.3,2.241,65.581,40.63,1.998,1.0,False,match
hb_background_subtract,updateBackground,G5-compute,high,stable,18.5,0.747,121.38,1.0,90.1,2.731,65.385,40.5,1.997,1.0,False,match
hb_background_subtract,findMovingPixels,G1-bandwidth,high,stable,64.9,0.69,140.65,1.0,85.3,4.081,30.463,18.87,1.434,1.147,False,match
hb_backprop,kernel_layerforward,G1-bandwidth,low,stable,36.0,0.45,67.22,3.1,90.8,2.72,0.058,65.27,1.96,1.002,True,
hb_backprop,kernel_adjust_weights,G1-bandwidth,low,stable,92.3,0.477,293.83,5.0,89.0,1.021,0.031,34.73,1.885,1.003,True,
hb_base64e,base64_enc,G3-l2-reuse,medium,stable,4.1,0.014,19.87,4.7,93.3,19.691,1195.023,100.0,1.817,0.999,False,match
hb_bezier_surface,BezierGPU,G5-compute,low,stable,4.1,0.027,3.75,32.0,24.4,151.706,119.155,100.0,2.0,1.0,False,match
hb_bgmv,bgmv_shrink_kernel,G4-latency,medium,stable,5.6,0.512,352.42,2.0,2.6,0.805,4.828,100.0,1.71,1.001,False,mismatch
hb_bh,ForceCalculationKernel,G3-l2-reuse,medium,stable,0.5,0.029,0.8,32.0,34.0,483.172,4277.46,99.15,1.838,1.001,False,match
hb_bh,TreeBuildingKernel,G3-l2-reuse,medium,stable,5.8,0.126,38.77,6.9,35.4,2.327,14.23,0.33,1.563,1.002,True,
hb_bh,SummarizationKernel,G3-l2-reuse,medium,stable,12.1,0.122,89.53,6.4,17.2,1.074,12.289,0.28,1.791,1.001,True,
hb_bh,SortKernel,G3-l2-reuse,medium,stable,10.6,0.143,87.7,9.0,17.6,1.811,6.553,0.15,1.917,0.997,True,
hb_bh,IntegrationKernel,G1-bandwidth,high,stable,85.2,0.5,1599.81,13.3,34.9,0.449,1.191,0.03,1.883,1.001,True,
hb_bh,BoundingBoxKernel,G1-bandwidth,medium,borderline:G1-bandwidth↔G2-coalescing,50.4,0.975,658.45,13.3,32.2,0.423,0.878,0.02,1.789,1.0,True,
hb_bh,ClearKernel1,G3-l2-reuse,medium,stable,0.2,0.002,1.64,4.0,18.2,353.809,0.927,0.02,1.897,1.001,True,
hb_bh,ClearKernel2,G3-l2-reuse,medium,stable,2.0,0.02,38.21,10.0,17.4,14.205,0.411,0.01,1.881,0.999,True,
hb_bh,InitializationKernel,G7-dependency,low,stable,0.7,0.127,8400.0,1.0,2.1,0.001,0.002,0.0,1.529,1.039,True,
hb_bincount,bincount,G3-l2-reuse,medium,stable,6.4,0.158,99.31,4.0,81.4,3.433,2115.803,100.0,1.501,1.002,False,match
hb_binomial,binomialOptionsKernel,G5-compute,medium,borderline:G0-nosignal↔G5-compute,0.5,0.663,0.33,1.0,93.8,2422.583,2546.454,100.0,1.999,1.0,False,match
hb_bitonic_sort,bitonic_sort,G1-bandwidth,high,stable,92.3,0.541,99.85,3.5,79.6,5.248,326.963,100.0,1.492,1.269,False,match
hb_bitpacking,bitPackKernel,G3-l2-reuse,medium,borderline:G3-l2-reuse↔G4-latency,1.5,0.313,231.93,1.0,16.2,2.664,7088.361,77.68,1.944,1.015,False,match
hb_bitpacking,bitPackConfigScanKernel,G7-dependency,medium,stable,1.5,0.326,360.38,1.0,16.3,1.032,2019.025,22.13,1.126,1.344,False,mismatch
hb_bitpacking,bitPackConfigFinalizeKernel,G7-dependency,medium,stable,1.6,0.325,429.44,1.0,16.1,0.841,17.505,0.19,1.698,1.02,True,
hb_bitpermute,bit_rev_permutation,G3-l2-reuse,medium,stable,2.6,0.256,825.92,32.1,48.4,0.632,0.271,0.01,1.825,1.0,True,
hb_black_scholes,getOutValOption,G1-bandwidth,high,stable,95.8,0.865,84.88,32.0,78.7,4.496,964.496,100.0,1.208,1.361,False,match
hb_blas_fp8gemm,sm89_xmma_gemm_e4m3e4m3_e4m3f32_f32_tn_n_tilesize128x128x64_stage3_warpsize2x2x1_tensor16x8x32_execute_kernel__5x_cublas,G5-compute,medium,borderline:G0-nosignal↔G5-compute,16.3,0.012,33.24,16.0,16.6,5.262,6527.325,100.0,1.999,1.0,False,match
hb_blas_gemm,cutlass::Kernel2,G7-dependency,medium,stable,4.9,0.115,10.63,8.3,21.1,47.163,42.822,79.99,1.975,0.999,False,match
